cyrillic,bichig,split
авхуулна гэж шийдсэн ээжид чинь байхгүй буруу,ᠠᠪᠬᠠᠭᠤᠯᠤᠨ᠎ᠠ ᠭᠡᠵᠦ ᠰᠢᠢᠳᠡᠭᠰᠡᠨ ᠡᠵᠢ ᠳᠦ ᠴᠢᠨᠢ ᠪᠠᠶᠢᠬᠤ ᠦᠭᠡᠢ ᠪᠤᠷᠤᠭᠤ,train
авах гээхийн ухаан тэдэнд хүрч үйлчлэхгүй,ᠠᠪᠬᠤ ᠭᠡᠭᠡᠬᠦ ᠶᠢᠨ ᠤᠬᠠᠭᠠᠨ ᠲᠡᠳᠡᠨ ᠳᠦ ᠬᠦᠷᠴᠦ ᠦᠢᠯᠡᠴᠢᠯᠡᠬᠦ ᠦᠭᠡᠢ,train
аварга хээрийн төвөргөөнд аялгуу өргөсөн монголоо,ᠠᠪᠤᠷᠭᠤ ᠬᠡᠭᠡᠷ᠎ᠡ ᠶᠢᠨ ᠲᠥᠪᠡᠷᠭᠡᠨ ᠳᠦ ᠠᠶᠠᠯᠭᠤ ᠡᠷᠭᠦᠭᠰᠡᠨ ᠮᠣᠩᠭᠣᠯ ᠢᠶᠠᠨ,train
аварч явсан тарган гурвынхаа төлөө,ᠠᠪᠤᠷᠠᠵᠤ ᠶᠠᠪᠤᠭᠰᠠᠨ ᠲᠠᠷᠭᠤᠨ ᠭᠤᠷᠪᠠ ᠶᠢᠨ ᠢᠶᠠᠨ ᠲᠥᠯᠥᠭᠡ,train
авсан хойноо аятай амьдрах санаатай,ᠠᠪᠤᠭᠰᠠᠨ ᠬᠣᠶᠢᠨ᠎ᠠ ᠪᠠᠨ ᠠᠶᠠᠲᠠᠢ ᠠᠮᠢᠳᠤᠷᠠᠬᠤ ᠰᠠᠨᠠᠭ᠎ᠠ ᠲᠠᠢ,train
авзага хайрхан уул минь,ᠠᠪᠵᠠᠭ᠎ᠠ ᠬᠠᠶᠢᠷᠬᠠᠨ ᠠᠭᠤᠯᠠ ᠮᠢᠨᠢ,train
авгайгаа болгож авна гэхгүйэ,ᠠᠪᠠᠭᠠᠢ ᠶᠢ ᠪᠠᠨ ᠪᠣᠯᠭᠠᠵᠤ ᠠᠪᠤᠨ᠎ᠠ ᠭᠦᠬᠦ ᠦᠭᠡᠢ ᠪᠡᠨ,train
авдаг цалин сарын эхний,ᠠᠪᠳᠠᠭ ᠴᠠᠯᠢᠩ ᠰᠠᠷ᠎ᠠ ᠶᠢᠨ ᠡᠬᠢᠨ ᠦ,train
аваргыг давж авсан начин,ᠠᠪᠤᠷᠭᠤ ᠶᠢ ᠳᠠᠪᠠᠵᠤ ᠠᠪᠤᠭᠰᠠᠨ ᠨᠠᠴᠢᠨ,train
авсанд хэвтэдлээ ийм л хип хоп бийч ийн өгзөгөнд нугасгүй хип хоп,ᠠᠪᠤᠭᠰᠠᠨ ᠳᠤ ᠬᠡᠪᠲᠡᠳᠦᠯ᠎ᠡ ᠡᠶᠢᠮᠦ ᠯᠠ ᠬᠢᠫ ᠬᠣᠫ ᠪᠡᠶᠢᠴᠢ ᠡᠶᠢᠨ ᠥᠭᠡᠵᠡᠭᠡᠨ ᠳᠦ ᠨᠤᠭᠤᠰᠤ ᠦᠭᠡᠢ ᠬᠢᠫ ᠬᠣᠫ,train
авилгалд идэгдсэн монголын хуул нь баяжсан,ᠠᠪᠯᠢᠭᠠᠯ ᠳᠤ ᠢᠳᠡᠭᠳᠡᠭᠰᠡᠨ ᠮᠣᠩᠭᠣᠯ ᠤᠨ ᠬᠠᠭᠤᠯ ᠨᠢ ᠪᠠᠶᠠᠵᠢᠭᠰᠠᠨ,train
авааль нөхөр алтансүх минь,ᠠᠪᠠᠯᠢ ᠨᠥᠬᠥᠷ ᠠᠯᠲᠠᠩᠰᠦ᠋ᠬᠡ ᠮᠢᠨᠢ,train
авааль нөхөр алтансүхтэйгээ,ᠠᠪᠠᠯᠢ ᠨᠥᠬᠥᠷ ᠠᠯᠲᠠᠩᠰᠦ᠋ᠬᠡ ᠲᠡᠢ ᠪᠡᠨ,train
аврал эрсэн янагийн түүний эгшиглэндээ хөтлөгдөөд,ᠠᠪᠤᠷᠠᠯ ᠡᠷᠢᠭᠰᠡᠨ ᠢᠨᠠᠭ ᠤᠨ ᠲᠡᠭᠦᠨ ᠦ ᠡᠭᠡᠰᠢᠭᠯᠡᠩ ᠳᠦ ᠪᠡᠨ ᠬᠥᠲᠦᠯᠦᠭᠳᠡᠭᠡᠳ,train
аварга хээрийн хөлсөнд дэнж мялаасан наадам,ᠠᠪᠤᠷᠭᠤ ᠬᠡᠭᠡᠷ᠎ᠡ ᠶᠢᠨ ᠬᠥᠯᠦᠰᠦᠨ ᠳᠦ ᠳᠡᠨᠵᠢ ᠮᠢᠯᠢᠶᠠᠭᠰᠠᠨ ᠨᠠᠭᠠᠳᠤᠮ,train
авс гэж юу байдгыг,ᠠᠪᠰᠠ ᠭᠡᠵᠦ ᠤᠤ ᠪᠠᠶᠢᠳᠠᠭ᠎ᠠ ᠶᠢ,train
автобусны мөнгөө төлөлгүй хөөгдөж явсан оюутан,ᠠᠦ᠋ᠲ᠋ᠣᠪᠦ᠋ᠰᠤᠨ ᠤ ᠮᠥᠩᠭᠥ ᠪᠡᠨ ᠲᠥᠯᠥᠯ ᠦᠭᠡᠢ ᠬᠥᠭᠡᠭᠡᠭᠳᠡᠵᠦ ᠶᠠᠪᠤᠭᠰᠠᠨ ᠣᠶᠤᠲᠠᠨ,train
авч болох бүхнийг хүснээрээ,ᠠᠪᠴᠤ ᠪᠣᠯᠬᠤ ᠪᠦᠬᠦᠨ ᠢ ᠬᠦᠰᠦᠨ ᠢᠶᠡᠷ ᠢᠶᠡᠨ,train
авах юмаа аваад хаях зүйлээ хаяж суръя,ᠠᠪᠬᠤ ᠶᠠᠭᠤᠮ᠎ᠠ ᠪᠠᠨ ᠠᠪᠤᠭᠠᠳ ᠬᠠᠶᠠᠬᠤ ᠵᠦᠢᠯ ᠢᠶᠡᠨ ᠬᠠᠶᠠᠵᠤ ᠰᠤᠷᠠᠶ᠎ᠠ,train
авгалдай болмоор байгаа эрвээхийг би шүтдэггүй ээ,ᠠᠪᠠᠭᠠᠯᠳᠠᠢ ᠪᠣᠯᠤᠮᠠᠷ ᠪᠠᠶᠢᠭ᠎ᠠ ᠡᠷᠪᠡᠬᠡᠢ ᠶᠢ ᠪᠢ ᠰᠢᠲᠦᠳᠡᠭ ᠦᠭᠡᠢ ᠡ,train
авах зүйл минь дэргэд минь байна,ᠠᠪᠬᠤ ᠵᠦᠢᠯ ᠮᠢᠨᠢ ᠳᠡᠷᠭᠡᠳᠡ ᠮᠢᠨᠢ ᠪᠠᠶᠢᠨ᠎ᠠ,train
авлигал албан тушаал хувь тохирсон хээл хахууль,ᠠᠪᠤᠯᠠᠯ ᠠᠯᠪᠠᠨ ᠲᠤᠰᠢᠶᠠᠯ ᠬᠤᠪᠢ ᠲᠣᠬᠢᠷᠠᠭᠰᠠᠨ ᠬᠡᠭᠡᠯᠢ ᠬᠠᠬᠤᠤᠯᠢ,train
авир нь дэндээд буур ч муу,ᠠᠪᠤᠷᠢ ᠨᠢ ᠳᠡᠩᠳᠡᠭᠡᠳ ᠪᠤᠤᠷ᠎ᠠ ᠴᠤ ᠮᠠᠭᠤ,train
аварл хайсан,ᠠᠪᠤᠷᠠᠯ ᠬᠠᠶᠢᠰᠠᠩ,train
авралын шүтээн дарь эхэд амилаад,ᠠᠪᠤᠷᠠᠯ ᠤᠨ ᠰᠢᠲᠦᠭᠡᠨ ᠳᠠᠷᠢ ᠡᠬᠡ ᠳᠦ ᠠᠮᠢᠯᠠᠭᠠᠳ,train
аварч чадаагүй анхны амьдрал тэр цонхны цаана дүнсийнэ,ᠠᠪᠤᠷᠠᠵᠤ ᠴᠢᠳᠠᠭ᠎ᠠ ᠦᠭᠡᠢ ᠠᠩᠬᠠᠨ ᠤ ᠠᠮᠢᠳᠤᠷᠠᠯ ᠲᠡᠷᠡ ᠴᠣᠩᠬᠣᠨ ᠤ ᠴᠠᠭᠠᠨ᠎ᠠ ᠳᠦᠩᠰᠦᠶᠢᠨ᠎ᠡ,train
авж одсон тэр хүнийг амьдрал үнэхээр ширүүн догшин,ᠠᠪᠴᠤ ᠣᠳᠤᠭᠰᠠᠨ ᠲᠡᠷᠡ ᠬᠦᠮᠦᠨ ᠢ ᠠᠮᠢᠳᠤᠷᠠᠯ ᠦᠨᠡᠬᠡᠷ ᠰᠢᠷᠦᠭᠦᠨ ᠳᠣᠭᠰᠢᠨ,train
авхай л намайгаа авъя гэвэл,ᠠᠪᠠᠬᠠᠢ ᠯᠠ ᠨᠠᠮᠠᠢ ᠪᠠᠨ ᠠᠪᠤᠶ᠎ᠠ ᠭᠡᠪᠡᠯ,train
авч суугаагүй ч гэлээ эргэж чи харах вий,ᠠᠪᠴᠤ ᠰᠠᠭᠤᠭ᠎ᠠ ᠦᠭᠡᠢ ᠴᠤ ᠭᠡᠯ᠎ᠡ ᠡᠷᠭᠢᠵᠦ ᠴᠢ ᠬᠠᠷᠠᠬᠤ ᠸᠢᠢ,train
авилгачдын гарыг тас зуух шүд минь энд байна,ᠠᠪᠯᠢᠭᠠᠴᠢᠳ ᠤᠨ ᠭᠠᠷ ᠢ ᠲᠠᠰᠤ ᠵᠤᠤᠬ᠎ᠠ ᠰᠢᠳᠦ ᠮᠢᠨᠢ ᠡᠨᠳᠡ ᠪᠠᠶᠢᠨ᠎ᠠ,train
аврагдахыг л хүсэж байгаа хүн хүндээ нэмэр,ᠠᠪᠤᠷᠠᠭᠳᠠᠬᠤ ᠶᠢ ᠯᠠ ᠬᠦᠰᠡᠵᠦ ᠪᠠᠶᠢᠭ᠎ᠠ ᠬᠦᠮᠦᠨ ᠬᠦᠩ ᠳᠦ ᠪᠡᠨ ᠨᠡᠮᠡᠷᠢ,train
ав ав ав түүнийг ав сав сав сав түүнтэй сав,ᠠᠪ ᠠᠪ ᠠᠪ ᠲᠡᠭᠦᠨ ᠢ ᠠᠪᠠ ᠰᠠᠪ ᠰᠠᠪ ᠰᠠᠪ ᠲᠡᠭᠦᠨ ᠲᠡᠢ ᠰᠠᠪᠠ,train
авдагаас гадуур гурван зуугаа яаж олдог нь төр батгүй,ᠠᠪᠳᠠᠭ ᠠᠴᠠ ᠭᠠᠳᠠᠭᠤᠷ ᠭᠤᠷᠪᠠᠨ ᠵᠤᠭ᠎ᠠ ᠪᠠᠨ ᠶᠠᠵ ᠣᠯᠳᠠᠭ ᠨᠢ ᠲᠥᠷᠥ ᠪᠠᠲᠤ ᠦᠭᠡᠢ,train
авгалдай хальсаан үлдээж эрвээхий болон нисдэг,ᠠᠪᠠᠭᠠᠯᠳᠠᠢ ᠬᠠᠯᠢᠰᠤᠭᠠᠨ ᠦᠯᠡᠳᠡᠭᠡᠵᠦ ᠡᠷᠪᠡᠬᠡᠢ ᠪᠣᠯᠤᠨ ᠨᠢᠰᠳᠡᠭ,train
авилгал улам цэцгэлчихээд байна,ᠠᠪᠯᠢᠭᠠᠯ ᠤᠯᠠᠮ ᠴᠡᠴᠡᠭᠡᠯᠡᠴᠢᠬᠡᠭᠡᠳ ᠪᠠᠶᠢᠨ᠎ᠠ,train
авга ах чинь арктикийн сармагчин,ᠠᠪᠠᠭ᠎ᠠ ᠠᠬ᠎ᠠ ᠴᠢᠨᠢ ᠠᠷᠺᠲ᠋ᠢᠺ ᠤᠨ ᠰᠠᠷᠮᠠᠭᠴᠢᠨ,train
авгайчууд тоодоггүй нь гачилантай,ᠠᠪᠠᠭᠠᠶᠢᠴᠤᠳ ᠲᠣᠭᠤᠳᠠᠭ ᠦᠭᠡᠢ ᠨᠢ ᠭᠠᠴᠢᠯᠠᠨ ᠲᠠᠢ,train
автомашин пуужин болтол битий бууж өг,ᠠᠦ᠋ᠲ᠋ᠣᠮᠠᠰᠢᠨ ᠫᠤᠤᠵᠢᠩ ᠪᠣᠯᠲᠠᠯ᠎ᠠ ᠪᠢᠲᠢ ᠪᠠᠭᠤᠵᠤ ᠥᠭ,train
авч үлдсэн ганц бодлоо энэ үзлээр солио,ᠠᠪᠴᠤ ᠦᠯᠡᠳᠡᠭᠰᠡᠨ ᠭᠠᠭᠴᠠ ᠪᠣᠳᠣᠯ ᠢᠶᠠᠨ ᠡᠨᠡ ᠦᠵᠡᠯ ᠢᠶᠡᠷ ᠰᠣᠯᠢᠶ᠎ᠠ,val
авчирсан тоглоом бий шүү,ᠠᠪᠴᠢᠷᠠᠭᠰᠠᠨ ᠲᠣᠭᠯᠠᠭᠠᠮ ᠪᠤᠢ ᠰᠢᠦ,val
аварга хүчит бөхчүүдийн түүхэн домог мөнхөрсөн,ᠠᠪᠤᠷᠭᠤ ᠬᠦᠴᠦᠲᠦ ᠪᠥᠬᠡᠴᠦᠳ ᠦᠨ ᠲᠡᠦᠬᠡᠨ ᠳᠣᠮᠣᠭ ᠮᠥᠩᠬᠡᠷᠡᠭᠰᠡᠨ,val
авралт нөхдийн ачаар,ᠠᠪᠤᠷᠠᠯᠲᠤ ᠨᠥᠬᠥᠳ ᠦᠨ ᠠᠴᠢ ᠪᠠᠷ,val
авсандаа аваад орох биш,ᠠᠪᠰᠠᠨ ᠳᠤ ᠪᠠᠨ ᠠᠪᠤᠭᠠᠳ ᠤᠷᠤᠬᠤ ᠪᠢᠰᠢ,val
авсан хэдээ бүхэл амьдралаа хэмээн санаж,ᠠᠪᠤᠭᠰᠠᠨ ᠬᠡᠳᠦ ᠪᠡᠨ ᠪᠦᠬᠦᠯᠢ ᠠᠮᠢᠳᠤᠷᠠᠯ ᠢᠶᠠᠨ ᠬᠡᠮᠡᠨ ᠰᠠᠨᠠᠵᠤ,val
автлгал хээл хахууль байхад хэн баян тэд баян,ᠠᠪᠲᠦᠯᠭᠠᠯ ᠬᠡᠭᠡᠯᠢ ᠬᠠᠬᠤᠤᠯᠢ ᠪᠠᠶᠢᠬᠤ ᠳᠤ ᠬᠡᠨ ᠪᠠᠶᠠᠨ ᠲᠡᠳᠡ ᠪᠠᠶᠠᠨ,val
аврагын бөгж,ᠠᠪᠤᠷᠠᠭ ᠤᠨ ᠪᠥᠭᠡᠵᠢ,val
авгай хүүхэдтэйгээ амьдран суудаг байлаа,ᠠᠪᠠᠭᠠᠢ ᠬᠡᠦᠬᠡᠳ ᠲᠡᠢ ᠪᠡᠨ ᠠᠮᠢᠳᠤᠷᠠᠨ ᠰᠠᠭᠤᠳᠠᠭ ᠪᠠᠶᠢᠯ᠎ᠠ,val
авах уу болох уу зүгээр таах уу охид бол цэцгэс,ᠠᠪᠬᠤ ᠤᠤ ᠪᠣᠯᠬᠤ ᠤᠤ ᠵᠦᠭᠡᠷ ᠲᠠᠭᠠᠬᠤ ᠤᠤ ᠥᠬᠢᠳ ᠪᠣᠯ ᠴᠡᠴᠡᠭᠡᠰ,val
автобусны буудал хавиар ажил ихэнхдээ явагдана,ᠠᠦ᠋ᠲ᠋ᠣᠪᠦ᠋ᠰᠤᠨ ᠤ ᠪᠠᠭᠤᠳᠠᠯ ᠬᠠᠪᠢᠶᠠᠷᠠ ᠠᠵᠢᠯ ᠶᠡᠬᠡᠩᠬᠢ ᠳᠦ ᠪᠡᠨ ᠶᠠᠪᠤᠭᠳᠠᠨ᠎ᠠ,val
аваргаас төрсөн аварга хүү,ᠠᠪᠤᠷᠭᠤ ᠠᠴᠠ ᠲᠦᠷᠦᠭᠰᠡᠨ ᠠᠪᠤᠷᠭᠤ ᠬᠡᠦ,val
авъяас нь вайна ард түмэн минь андахгүй мэдэж байгаа,ᠠᠪᠢᠶᠠᠰ ᠨᠢ ᠪᠠᠶᠢᠨ᠎ᠠ ᠠᠷᠠᠳ ᠲᠦᠮᠡᠨ ᠮᠢᠨᠢ ᠠᠨᠳᠤᠬᠤ ᠦᠭᠡᠢ ᠮᠡᠳᠡᠵᠦ ᠪᠠᠶᠢᠭ᠎ᠠ,val
авах вэ аа бодёо,ᠠᠪᠬᠤ ᠪᠤᠢ ᠠ ᠪᠣᠳᠣᠶᠣ,val
авсан өгсөндөө өлзийтөй маргааш би чамайг танихгүй,ᠠᠪᠤᠭᠰᠠᠨ ᠥᠭᠭᠦᠭᠰᠡᠨ ᠳᠦ ᠪᠡᠨ ᠥᠯᠵᠡᠶᠢᠲᠡᠢ ᠮᠠᠷᠭᠠᠰᠢ ᠪᠢ ᠴᠢᠮᠠᠢ ᠲᠠᠨᠢᠬᠤ ᠦᠭᠡᠢ,val
авч үзээгүй алтан тавынхаа төлөө,ᠠᠪᠴᠤ ᠦᠵᠡᠭᠡ ᠦᠭᠡᠢ ᠠᠯᠲᠠᠨ ᠲᠠᠪ ᠤᠨ ᠢᠶᠠᠨ ᠲᠥᠯᠥᠭᠡ,test
авъяасгүй зарим нөхөд нь архинд орон мөхөж байна,ᠠᠪᠢᠶᠠᠰ ᠦᠭᠡᠢ ᠵᠠᠷᠢᠮ ᠨᠥᠬᠥᠳ ᠨᠢ ᠠᠷᠢᠬᠢᠨ ᠳᠤ ᠣᠷᠣᠨ ᠮᠥᠬᠥᠵᠦ ᠪᠠᠶᠢᠨ᠎ᠠ,test
авнадаа сарвуундаа бүгдийг,ᠠᠪᠠᠨ ᠳᠤ ᠪᠠᠨ ᠰᠠᠷᠪᠠᠭᠤᠨ ᠳᠤ ᠪᠠᠨ ᠪᠦᠭᠦᠳᠡ ᠶᠢ,test
авдар авдраар нь архи залгилмаар,ᠠᠪᠳᠠᠷ᠎ᠠ ᠠᠪᠳᠠᠷ᠎ᠠ ᠪᠠᠷ ᠨᠢ ᠠᠷᠢᠬᠢ ᠵᠠᠯᠭᠢᠯᠠᠮᠠᠷ,test
авгай нь угааж нөхөр нь хатаана,ᠠᠪᠠᠭᠠᠢ ᠨᠢ ᠤᠭᠢᠶᠠᠵᠤ ᠨᠥᠬᠥᠷ ᠨᠢ ᠬᠠᠲᠠᠭᠠᠨ᠎ᠠ,test
авах өгхийн цагт хийсэндээ гэмшиглэх,ᠠᠪᠬᠤ ᠥᠭᠬᠢᠨ ᠴᠠᠭ ᠲᠤ ᠬᠢᠭᠰᠡᠨ ᠳᠦ ᠪᠡᠨ ᠭᠡᠮᠰᠢᠭᠯᠡᠬᠦ,test
авах зэвсэг хүч түрнэ миний гарын хүч хүрнэ,ᠠᠪᠬᠤ ᠵᠡᠪᠰᠡᠭ ᠬᠦᠴᠦ ᠲᠦᠷᠢᠨ᠎ᠡ ᠮᠢᠨᠦ ᠭᠠᠷ ᠤᠨ ᠬᠦᠴᠦ ᠬᠦᠷᠡᠨ᠎ᠡ,test
ав ав намайг бүхэнийг ав бүгдийг ав,ᠠᠪ ᠠᠪ ᠨᠠᠮᠠᠢ ᠪᠦᠬᠦᠨ ᠢ ᠠᠪ ᠪᠦᠭᠦᠳᠡ ᠶᠢ ᠠᠪ,test
