авааль нөхөр алтансүх минь|ᠠᠪᠠᠯᠢ ᠨᠥᠬᠥᠷ ᠠᠯᠲᠠᠩᠰᠦ᠋ᠬᠡ ᠮᠢᠨᠢ
авах гэж бишээ ангаж үхэхийн зовлонгүй ээ|ᠠᠪᠬᠤ ᠭᠡᠵᠦ ᠪᠢᠰᠢ ᠪᠡᠨ ᠠᠩᠭᠠᠵᠤ ᠦᠬᠦᠬᠦ ᠶᠢᠨ ᠵᠣᠪᠠᠯᠠᠩ ᠦᠭᠡᠢ ᠡ
авах гэсэн зарим гичийнүүд бандаашаа тайчна|ᠠᠪᠬᠤ ᠭᠡᠰᠡᠨ ᠵᠠᠷᠢᠮ ᠭᠢᠴᠢᠢ ᠨᠦᠭᠦᠳ ᠪᠠᠨᠳᠠᠰᠢ ᠪᠠᠨ ᠲᠠᠶᠢᠴᠢᠨ᠎ᠠ
авах гээхийн ёсоор хандаж алхам би улам цаашилна|ᠠᠪᠬᠤ ᠭᠡᠭᠡᠬᠦ ᠶᠢᠨ ᠶᠣᠰᠣᠭᠠᠷ ᠬᠠᠨᠳᠤᠵᠤ ᠠᠯᠬᠤᠮ ᠪᠢ ᠤᠯᠠᠮ ᠴᠠᠭᠠᠰᠢᠯᠠᠨ᠎ᠠ
авах гээхийн ухаан тэдэнд хүрч үйлчлэхгүй|ᠠᠪᠬᠤ ᠭᠡᠭᠡᠬᠦ ᠶᠢᠨ ᠤᠬᠠᠭᠠᠨ ᠲᠡᠳᠡᠨ ᠳᠦ ᠬᠦᠷᠴᠦ ᠦᠢᠯᠡᠴᠢᠯᠡᠬᠦ ᠦᠭᠡᠢ
авах ёстой байсан хүн нь|ᠠᠪᠬᠤ ᠶᠣᠰᠣᠲᠠᠢ ᠪᠠᠶᠢᠭᠰᠠᠨ ᠬᠦᠮᠦᠨ ᠨᠢ
авах зүйл минь дэргэд минь байна|ᠠᠪᠬᠤ ᠵᠦᠢᠯ ᠮᠢᠨᠢ ᠳᠡᠷᠭᠡᠳᠡ ᠮᠢᠨᠢ ᠪᠠᠶᠢᠨ᠎ᠠ
авах зэвсэг хүч түрнэ миний гарын хүч хүрнэ|ᠠᠪᠬᠤ ᠵᠡᠪᠰᠡᠭ ᠬᠦᠴᠦ ᠲᠦᠷᠢᠨ᠎ᠡ ᠮᠢᠨᠦ ᠭᠠᠷ ᠤᠨ ᠬᠦᠴᠦ ᠬᠦᠷᠡᠨ᠎ᠡ
авах өгхийн цагт хийсэндээ гэмшиглэх|ᠠᠪᠬᠤ ᠥᠭᠬᠢᠨ ᠴᠠᠭ ᠲᠤ ᠬᠢᠭᠰᠡᠨ ᠳᠦ ᠪᠡᠨ ᠭᠡᠮᠰᠢᠭᠯᠡᠬᠦ
авах уу болох уу зүгээр таах уу охид бол цэцгэс|ᠠᠪᠬᠤ ᠤᠤ ᠪᠣᠯᠬᠤ ᠤᠤ ᠵᠦᠭᠡᠷ ᠲᠠᠭᠠᠬᠤ ᠤᠤ ᠥᠬᠢᠳ ᠪᠣᠯ ᠴᠡᠴᠡᠭᠡᠰ
авах юмаа аваад хаях зүйлээ хаяж суръя|ᠠᠪᠬᠤ ᠶᠠᠭᠤᠮ᠎ᠠ ᠪᠠᠨ ᠠᠪᠤᠭᠠᠳ ᠬᠠᠶᠠᠬᠤ ᠵᠦᠢᠯ ᠢᠶᠡᠨ ᠬᠠᠶᠠᠵᠤ ᠰᠤᠷᠠᠶ᠎ᠠ
авга ах чинь арктикийн сармагчин|ᠠᠪᠠᠭ᠎ᠠ ᠠᠬ᠎ᠠ ᠴᠢᠨᠢ ᠠᠷᠺᠲ᠋ᠢᠺ ᠤᠨ ᠰᠠᠷᠮᠠᠭᠴᠢᠨ
авга ахын чинь авга нь африкийн пингвин|ᠠᠪᠠᠭ᠎ᠠ ᠠᠬ᠎ᠠ ᠶᠢᠨ ᠴᠢᠨᠢ ᠠᠪᠠᠭ᠎ᠠ ᠨᠢ ᠠᠹᠷᠢᠺᠠ ᠶᠢᠨ ᠫᠢᠩᠸᠢᠨ
авгай авахаа дуулдаггүй юм ай хөөрхий тэр эзэлхүүн|ᠠᠪᠤᠭᠠᠢ ᠠᠪᠬᠤ ᠪᠠᠨ ᠳᠠᠭᠤᠯᠠᠳᠠᠭ ᠦᠭᠡᠢ ᠶᠤᠮ ᠠᠢ ᠬᠥᠭᠡᠷᠦᠬᠦᠢ ᠲᠡᠷᠡ ᠡᠵᠡᠯᠡᠬᠦᠨ
авгай ална гэхээр барьж аваад амруу минь цутгах юм|ᠠᠪᠤᠭᠠᠢ ᠠᠯᠠᠨ᠎ᠠ ᠭᠡᠬᠦ ᠪᠡᠷ ᠪᠠᠷᠢᠵᠤ ᠠᠪᠤᠭᠠᠳ ᠠᠮᠠᠷᠠᠤ ᠮᠢᠨᠢ ᠴᠢᠳᠭᠤᠬᠤ ᠶᠤᠮ
авгайгаа болгож авна гэхгүйэ|ᠠᠪᠠᠭᠠᠢ ᠶᠢ ᠪᠠᠨ ᠪᠣᠯᠭᠠᠵᠤ ᠠᠪᠤᠨ᠎ᠠ ᠭᠦᠬᠦ ᠦᠭᠡᠢ ᠪᠡᠨ
авгайгаа болгоод авна хө|ᠠᠪᠠᠭᠠᠢ ᠶᠢ ᠪᠠᠨ ᠪᠣᠯᠭᠠᠭᠠᠳ ᠠᠪᠤᠨ᠎ᠠ ᠬᠥ
авгай гэтэл акуарамд байгаа алтан заганаас|ᠠᠪᠤᠭᠠᠢ ᠭᠡᠲᠡᠯ᠎ᠡ ᠠᠺᠦ᠋ᠢᠷᠠᠮ ᠳᠤ ᠪᠠᠶᠢᠭ᠎ᠠ ᠠᠯᠲᠠᠨ ᠵᠠᠭᠠᠨ ᠠᠴᠠ
авгай нь угааж нөхөр нь хатаана|ᠠᠪᠠᠭᠠᠢ ᠨᠢ ᠤᠭᠢᠶᠠᠵᠤ ᠨᠥᠬᠥᠷ ᠨᠢ ᠬᠠᠲᠠᠭᠠᠨ᠎ᠠ
авгай хүүхдэд ховлож атаархана|ᠠᠪᠤᠭᠠᠢ ᠬᠡᠦᠬᠡᠳ ᠲᠦ ᠬᠣᠪᠯᠠᠵᠤ ᠠᠲᠠᠭᠠᠷᠬᠠᠨ᠎ᠠ
авгай хүүхнүүдэд тараачхаад ирэв үү дээ хөөрхий яа хө|ᠠᠪᠤᠭᠠᠢ ᠬᠡᠦᠬᠡᠨ ᠨᠦᠭᠦᠳ ᠲᠦ ᠲᠠᠷᠠᠭᠠᠴᠢᠬᠠᠭᠠᠳ ᠢᠷᠡᠪᠡ ᠦᠦ ᠳ᠋ᠡ ᠬᠥᠭᠡᠷᠦᠬᠦᠢ ᠶᠠ ᠬᠥ
авгай хүүхэд ажил төрөл биднийг салгаж чадна гэж үү|ᠠᠪᠠᠭᠠᠢ ᠬᠡᠦᠬᠡᠳ ᠠᠵᠢᠯ ᠲᠥᠷᠥᠯ ᠪᠢᠳᠡᠨ ᠢ ᠰᠠᠯᠭᠠᠵᠤ ᠴᠢᠳᠠᠨ᠎ᠠ ᠭᠡᠵᠦ ᠦᠦ
авгай хүүхэдтэйгээ амьдран суудаг байлаа|ᠠᠪᠠᠭᠠᠢ ᠬᠡᠦᠬᠡᠳ ᠲᠡᠢ ᠪᠡᠨ ᠠᠮᠢᠳᠤᠷᠠᠨ ᠰᠠᠭᠤᠳᠠᠭ ᠪᠠᠶᠢᠯ᠎ᠠ
авгай хүүхэн архи дарс гээд ухаан жолоогүй ээ|ᠠᠪᠠᠭᠠᠢ ᠬᠡᠦᠬᠡᠨ ᠠᠷᠢᠬᠢ ᠳᠠᠷᠠᠰᠤ ᠭᠡᠳ ᠤᠬᠠᠭᠠᠨ ᠵᠢᠯᠤᠭᠤ ᠦᠭᠡᠢ ᠡ
авгайчууд тоодоггүй нь гачилантай|ᠠᠪᠠᠭᠠᠶᠢᠴᠤᠳ ᠲᠣᠭᠤᠳᠠᠭ ᠦᠭᠡᠢ ᠨᠢ ᠭᠠᠴᠢᠯᠠᠨ ᠲᠠᠢ
авгалдай болмоор байгаа эрвээхийг би шүтдэггүй ээ|ᠠᠪᠠᠭᠠᠯᠳᠠᠢ ᠪᠣᠯᠤᠮᠠᠷ ᠪᠠᠶᠢᠭ᠎ᠠ ᠡᠷᠪᠡᠬᠡᠢ ᠶᠢ ᠪᠢ ᠰᠢᠲᠦᠳᠡᠭ ᠦᠭᠡᠢ ᠡ
авгалдай хальсаан үлдээж эрвээхий болон нисдэг|ᠠᠪᠠᠭᠠᠯᠳᠠᠢ ᠬᠠᠯᠢᠰᠤᠭᠠᠨ ᠦᠯᠡᠳᠡᠭᠡᠵᠦ ᠡᠷᠪᠡᠬᠡᠢ ᠪᠣᠯᠤᠨ ᠨᠢᠰᠳᠡᠭ
авгын цагаан ууланд нь хө|ᠠᠪᠠᠭ᠎ᠠ ᠶᠢᠨ ᠴᠠᠭᠠᠨ ᠠᠭᠤᠯᠠᠨ ᠳᠤ ᠨᠢ ᠬᠥ
авдагаас гадуур гурван зуугаа яаж олдог нь төр батгүй|ᠠᠪᠳᠠᠭ ᠠᠴᠠ ᠭᠠᠳᠠᠭᠤᠷ ᠭᠤᠷᠪᠠᠨ ᠵᠤᠭ᠎ᠠ ᠪᠠᠨ ᠶᠠᠵ ᠣᠯᠳᠠᠭ ᠨᠢ ᠲᠥᠷᠥ ᠪᠠᠲᠤ ᠦᠭᠡᠢ
авдаг цалин сарын эхний|ᠠᠪᠳᠠᠭ ᠴᠠᠯᠢᠩ ᠰᠠᠷ᠎ᠠ ᠶᠢᠨ ᠡᠬᠢᠨ ᠦ
авдар авдараар нь пивийг|ᠠᠪᠳᠠᠷ᠎ᠠ ᠠᠪᠳᠠᠷ᠎ᠠ ᠪᠠᠷ ᠨᠢ ᠫᠢᠸ ᠢ
авдар авдраар нь архи залгилмаар|ᠠᠪᠳᠠᠷ᠎ᠠ ᠠᠪᠳᠠᠷ᠎ᠠ ᠪᠠᠷ ᠨᠢ ᠠᠷᠢᠬᠢ ᠵᠠᠯᠭᠢᠯᠠᠮᠠᠷ
авдар авдраар нь зөөгөөд|ᠠᠪᠳᠠᠷ᠎ᠠ ᠠᠪᠳᠠᠷ᠎ᠠ ᠪᠠᠷ ᠨᠢ ᠵᠥᠭᠡᠭᠡᠳ
авж одсон тэр хүнийг амьдрал үнэхээр ширүүн догшин|ᠠᠪᠴᠤ ᠣᠳᠤᠭᠰᠠᠨ ᠲᠡᠷᠡ ᠬᠦᠮᠦᠨ ᠢ ᠠᠮᠢᠳᠤᠷᠠᠯ ᠦᠨᠡᠬᠡᠷ ᠰᠢᠷᠦᠭᠦᠨ ᠳᠣᠭᠰᠢᠨ
авзага хайрхан уул минь|ᠠᠪᠵᠠᠭ᠎ᠠ ᠬᠠᠶᠢᠷᠬᠠᠨ ᠠᠭᠤᠯᠠ ᠮᠢᠨᠢ
авилгал авчихсан далан зургаа амгалан|ᠠᠪᠯᠢᠭᠠᠯ ᠠᠪᠴᠢᠬᠠᠭᠰᠠᠨ ᠳᠠᠯᠠᠨ ᠵᠢᠷᠭᠤᠭ᠎ᠠ ᠠᠮᠤᠭᠤᠯᠠᠩ
авилгал бас хээл хахууль авсан цөм|ᠠᠪᠯᠢᠭᠠᠯ ᠪᠠᠰᠠ ᠬᠡᠭᠡᠯᠢ ᠬᠠᠬᠤᠤᠯᠢ ᠠᠪᠤᠭᠰᠠᠨ ᠴᠥᠮ
авилгалд автагдсан тэр муу далан зургаа|ᠠᠪᠯᠢᠭᠠᠯ ᠳᠤ ᠠᠪᠲᠠᠭᠳᠠᠭᠰᠠᠨ ᠲᠡᠷᠡ ᠮᠠᠭᠤ ᠳᠠᠯᠠᠨ ᠵᠢᠷᠭᠤᠭ᠎ᠠ
авилгалд идэгдсэн монголын хуул нь баяжсан|ᠠᠪᠯᠢᠭᠠᠯ ᠳᠤ ᠢᠳᠡᠭᠳᠡᠭᠰᠡᠨ ᠮᠣᠩᠭᠣᠯ ᠤᠨ ᠬᠠᠭᠤᠯ ᠨᠢ ᠪᠠᠶᠠᠵᠢᠭᠰᠠᠨ
авилгал улам цэцгэлчихээд байна|ᠠᠪᠯᠢᠭᠠᠯ ᠤᠯᠠᠮ ᠴᠡᠴᠡᠭᠡᠯᠡᠴᠢᠬᠡᠭᠡᠳ ᠪᠠᠶᠢᠨ᠎ᠠ
авилгал хээл хахууль бас үзэн ядуурал|ᠠᠪᠯᠢᠭᠠᠯ ᠬᠡᠭᠡᠯᠢ ᠬᠠᠬᠤᠤᠯᠢ ᠪᠠᠰᠠ ᠦᠵᠡᠨ ᠶᠠᠳᠠᠭᠤᠷᠠᠯ
авилгачдын гарыг тас зуух шүд минь энд байна|ᠠᠪᠯᠢᠭᠠᠴᠢᠳ ᠤᠨ ᠭᠠᠷ ᠢ ᠲᠠᠰᠤ ᠵᠤᠤᠬ᠎ᠠ ᠰᠢᠳᠦ ᠮᠢᠨᠢ ᠡᠨᠳᠡ ᠪᠠᠶᠢᠨ᠎ᠠ
авилгачдын гарыг тас цохь|ᠠᠪᠯᠢᠭᠠᠴᠢᠳ ᠤᠨ ᠭᠠᠷ ᠢ ᠲᠠᠰᠤ ᠴᠣᠬᠢ
авир нь дэндвэл маш муу|ᠠᠪᠤᠷᠢ ᠢᠨᠦ ᠳᠡᠩᠳᠡᠪᠡᠯ ᠮᠠᠰᠢ ᠮᠠᠭᠤ
авир нь дэндээд буур ч муу|ᠠᠪᠤᠷᠢ ᠨᠢ ᠳᠡᠩᠳᠡᠭᠡᠳ ᠪᠤᠤᠷ᠎ᠠ ᠴᠤ ᠮᠠᠭᠤ
авлигал албан тушаал хувь тохирсон хээл хахууль|ᠠᠪᠤᠯᠠᠯ ᠠᠯᠪᠠᠨ ᠲᠤᠰᠢᠶᠠᠯ ᠬᠤᠪᠢ ᠲᠣᠬᠢᠷᠠᠭᠰᠠᠨ ᠬᠡᠭᠡᠯᠢ ᠬᠠᠬᠤᠤᠯᠢ
авна гэж зүүдэлсэн ч үгүй явлаа хө|ᠠᠪᠤᠨ᠎ᠠ ᠭᠡᠵᠦ ᠵᠡᠭᠦᠳᠦᠯᠡᠭᠰᠡᠨ ᠴᠤ ᠦᠭᠡᠢ ᠶᠠᠪᠤᠯ᠎ᠠ ᠬᠥ
авнадаа сарвуундаа бүгдийг|ᠠᠪᠠᠨ ᠳᠤ ᠪᠠᠨ ᠰᠠᠷᠪᠠᠭᠤᠨ ᠳᠤ ᠪᠠᠨ ᠪᠦᠭᠦᠳᠡ ᠶᠢ
аврагдахыг л хүсэж байгаа хүн хүндээ нэмэр|ᠠᠪᠤᠷᠠᠭᠳᠠᠬᠤ ᠶᠢ ᠯᠠ ᠬᠦᠰᠡᠵᠦ ᠪᠠᠶᠢᠭ᠎ᠠ ᠬᠦᠮᠦᠨ ᠬᠦᠩ ᠳᠦ ᠪᠡᠨ ᠨᠡᠮᠡᠷᠢ
аврагын бөгж|ᠠᠪᠤᠷᠠᠭ ᠤᠨ ᠪᠥᠭᠡᠵᠢ
аврал нь байсан усан минь|ᠠᠪᠤᠷᠠᠯ ᠨᠢ ᠪᠠᠶᠢᠭᠰᠠᠨ ᠤᠰᠤᠨ ᠮᠢᠨᠢ
авралтай түшигтэй миний аав уу даа|ᠠᠪᠤᠷᠠᠯ ᠲᠠᠢ ᠲᠦᠰᠢᠭ ᠲᠡᠢ ᠮᠢᠨᠦ ᠠᠪᠤ ᠤᠤ ᠳ᠋ᠠ
авралт нөхдийн ачаар|ᠠᠪᠤᠷᠠᠯᠲᠤ ᠨᠥᠬᠥᠳ ᠦᠨ ᠠᠴᠢ ᠪᠠᠷ
авралын ширээнд залав аа хө|ᠠᠪᠤᠷᠠᠯ ᠤᠨ ᠰᠢᠷᠡᠭᠡᠨ ᠳᠦ ᠵᠠᠯᠠᠪᠠ ᠠ ᠬᠥ
авралын шүтээн дарь эхэд амилаад|ᠠᠪᠤᠷᠠᠯ ᠤᠨ ᠰᠢᠲᠦᠭᠡᠨ ᠳᠠᠷᠢ ᠡᠬᠡ ᠳᠦ ᠠᠮᠢᠯᠠᠭᠠᠳ
аврал эрсэн янагийн түүний эгшиглэндээ хөтлөгдөөд|ᠠᠪᠤᠷᠠᠯ ᠡᠷᠢᠭᠰᠡᠨ ᠢᠨᠠᠭ ᠤᠨ ᠲᠡᠭᠦᠨ ᠦ ᠡᠭᠡᠰᠢᠭᠯᠡᠩ ᠳᠦ ᠪᠡᠨ ᠬᠥᠲᠦᠯᠦᠭᠳᠡᠭᠡᠳ
аврал эрэн дотроо хашгарч байдгийг мэдэх үү хэлдээ тэ|ᠠᠪᠤᠷᠠᠯ ᠡᠷᠢᠨ ᠳᠣᠲᠣᠷ᠎ᠠ ᠪᠠᠨ ᠬᠠᠰᠭᠢᠷᠴᠢ ᠪᠠᠶᠢᠳᠠᠭ ᠢ ᠮᠡᠳᠡᠬᠦ ᠦᠦ ᠬᠡᠯᠡ ᠳᠦ ᠪᠡᠨ ᠲᠡ
авсандаа аваад орох биш|ᠠᠪᠰᠠᠨ ᠳᠤ ᠪᠠᠨ ᠠᠪᠤᠭᠠᠳ ᠤᠷᠤᠬᠤ ᠪᠢᠰᠢ
авсанд хэвтэдлээ ийм л хип хоп бийч ийн өгзөгөнд нугасгүй хип хоп|ᠠᠪᠤᠭᠰᠠᠨ ᠳᠤ ᠬᠡᠪᠲᠡᠳᠦᠯ᠎ᠡ ᠡᠶᠢᠮᠦ ᠯᠠ ᠬᠢᠫ ᠬᠣᠫ ᠪᠡᠶᠢᠴᠢ ᠡᠶᠢᠨ ᠥᠭᠡᠵᠡᠭᠡᠨ ᠳᠦ ᠨᠤᠭᠤᠰᠤ ᠦᠭᠡᠢ ᠬᠢᠫ ᠬᠣᠫ
авсан мөнгөөрөө архи авч уулаа|ᠠᠪᠤᠭᠰᠠᠨ ᠮᠥᠩᠭᠥ ᠪᠡᠷ ᠢᠶᠡᠨ ᠠᠷᠢᠬᠢ ᠠᠪᠴᠤ ᠠᠭᠤᠯᠠ ᠪᠠᠨ
авсан өгсөндөө өлзийтөй маргааш би чамайг танихгүй|ᠠᠪᠤᠭᠰᠠᠨ ᠥᠭᠭᠦᠭᠰᠡᠨ ᠳᠦ ᠪᠡᠨ ᠥᠯᠵᠡᠶᠢᠲᠡᠢ ᠮᠠᠷᠭᠠᠰᠢ ᠪᠢ ᠴᠢᠮᠠᠢ ᠲᠠᠨᠢᠬᠤ ᠦᠭᠡᠢ
авсан пиво ээ шимэн сороод|ᠠᠪᠤᠭᠰᠠᠨ ᠫᠢᠸᠣ᠋ ᠡ ᠰᠢᠮᠡᠨ ᠰᠣᠷᠣᠭᠠᠳ
авсан хойноо аятай амьдрах санаатай|ᠠᠪᠤᠭᠰᠠᠨ ᠬᠣᠶᠢᠨ᠎ᠠ ᠪᠠᠨ ᠠᠶᠠᠲᠠᠢ ᠠᠮᠢᠳᠤᠷᠠᠬᠤ ᠰᠠᠨᠠᠭ᠎ᠠ ᠲᠠᠢ
авсан хэдээ бүхэл амьдралаа хэмээн санаж|ᠠᠪᠤᠭᠰᠠᠨ ᠬᠡᠳᠦ ᠪᠡᠨ ᠪᠦᠬᠦᠯᠢ ᠠᠮᠢᠳᠤᠷᠠᠯ ᠢᠶᠠᠨ ᠬᠡᠮᠡᠨ ᠰᠠᠨᠠᠵᠤ
авс гэж юу байдгыг|ᠠᠪᠰᠠ ᠭᠡᠵᠦ ᠤᠤ ᠪᠠᠶᠢᠳᠠᠭ᠎ᠠ ᠶᠢ
автлгал хээл хахууль байхад хэн баян тэд баян|ᠠᠪᠲᠦᠯᠭᠠᠯ ᠬᠡᠭᠡᠯᠢ ᠬᠠᠬᠤᠤᠯᠢ ᠪᠠᠶᠢᠬᠤ ᠳᠤ ᠬᠡᠨ ᠪᠠᠶᠠᠨ ᠲᠡᠳᠡ ᠪᠠᠶᠠᠨ
автобусандаа гурван зуу|ᠠᠦ᠋ᠲ᠋ᠣᠪᠦ᠋ᠰᠤᠨ ᠳᠤ ᠪᠠᠨ ᠭᠤᠷᠪᠠᠨ ᠵᠠᠭᠤ
автобусны буудал хавиар ажил ихэнхдээ явагдана|ᠠᠦ᠋ᠲ᠋ᠣᠪᠦ᠋ᠰᠤᠨ ᠤ ᠪᠠᠭᠤᠳᠠᠯ ᠬᠠᠪᠢᠶᠠᠷᠠ ᠠᠵᠢᠯ ᠶᠡᠬᠡᠩᠬᠢ ᠳᠦ ᠪᠡᠨ ᠶᠠᠪᠤᠭᠳᠠᠨ᠎ᠠ
автобусны мөнгөө төлөлгүй хөөгдөж явсан оюутан|ᠠᠦ᠋ᠲ᠋ᠣᠪᠦ᠋ᠰᠤᠨ ᠤ ᠮᠥᠩᠭᠥ ᠪᠡᠨ ᠲᠥᠯᠥᠯ ᠦᠭᠡᠢ ᠬᠥᠭᠡᠭᠡᠭᠳᠡᠵᠦ ᠶᠠᠪᠤᠭᠰᠠᠨ ᠣᠶᠤᠲᠠᠨ
авто машингүй ч биеийн тамиртай|ᠠᠦ᠋ᠲ᠋ᠣ᠋ ᠮᠠᠰᠢᠨ ᠦᠭᠡᠢ ᠴᠤ ᠪᠡᠶ᠎ᠡ ᠶᠢᠨ ᠲᠠᠮᠢᠷ ᠲᠠᠢ
автомашин пуужин болтол битий бууж өг|ᠠᠦ᠋ᠲ᠋ᠣᠮᠠᠰᠢᠨ ᠫᠤᠤᠵᠢᠩ ᠪᠣᠯᠲᠠᠯ᠎ᠠ ᠪᠢᠲᠢ ᠪᠠᠭᠤᠵᠤ ᠥᠭ
авхай л намайгаа авъя гэвэл|ᠠᠪᠠᠬᠠᠢ ᠯᠠ ᠨᠠᠮᠠᠢ ᠪᠠᠨ ᠠᠪᠤᠶ᠎ᠠ ᠭᠡᠪᠡᠯ
ав хүссэн бүхнээ болохгүй бол хүчээр|ᠠᠪ ᠬᠦᠰᠡᠭᠰᠡᠨ ᠪᠦᠬᠦᠨ ᠢᠶᠡᠨ ᠪᠣᠯᠬᠤ ᠦᠭᠡᠢ ᠪᠣᠯ ᠬᠦᠴᠢ ᠪᠡᠷ
авхуулна гэж шийдсэн ээжид чинь байхгүй буруу|ᠠᠪᠬᠠᠭᠤᠯᠤᠨ᠎ᠠ ᠭᠡᠵᠦ ᠰᠢᠢᠳᠡᠭᠰᠡᠨ ᠡᠵᠢ ᠳᠦ ᠴᠢᠨᠢ ᠪᠠᠶᠢᠬᠤ ᠦᠭᠡᠢ ᠪᠤᠷᠤᠭᠤ
авч болох бүхнийг хүснээрээ|ᠠᠪᠴᠤ ᠪᠣᠯᠬᠤ ᠪᠦᠬᠦᠨ ᠢ ᠬᠦᠰᠦᠨ ᠢᠶᠡᠷ ᠢᠶᠡᠨ
авч ирнээ|ᠠᠪᠴᠤ ᠢᠷᠡᠨ᠎ᠡ
авч ирнэ ээ|ᠠᠪᠴᠤ ᠢᠷᠡᠨ᠎ᠡ ᠡ
авчирсан тоглоом бий шүү|ᠠᠪᠴᠢᠷᠠᠭᠰᠠᠨ ᠲᠣᠭᠯᠠᠭᠠᠮ ᠪᠤᠢ ᠰᠢᠦ
авч суугаагүй ч гэлээ эргэж чи харах вий|ᠠᠪᠴᠤ ᠰᠠᠭᠤᠭ᠎ᠠ ᠦᠭᠡᠢ ᠴᠤ ᠭᠡᠯ᠎ᠡ ᠡᠷᠭᠢᠵᠦ ᠴᠢ ᠬᠠᠷᠠᠬᠤ ᠸᠢᠢ
